cd8_epitope	hydro_score
FALSE	-0.416
FALSE	-0.42
FALSE	-1.564
FALSE	1.388
FALSE	0.308
TRUE	-0.628
FALSE	-0.816
FALSE	-1.32
FALSE	-0.9
FALSE	-0.868
TRUE	-0.328
FALSE	-1.632
FALSE	-0.38
FALSE	0.2
FALSE	-1.632
FALSE	-1.484
FALSE	-0.92
FALSE	-0.816
FALSE	-2.352
FALSE	0.536
FALSE	-0.816
FALSE	-0.864
FALSE	0.052
FALSE	0.052
FALSE	-0.096
FALSE	-0.44
FALSE	0.168
FALSE	-0.16
FALSE	0.04
FALSE	-1.592
FALSE	0.232
FALSE	-0.46
FALSE	-0.988
FALSE	-1.164
FALSE	-0.96
FALSE	-0.76
FALSE	-0.924
FALSE	-0.984
FALSE	-0.892
FALSE	-0.828
FALSE	-1.3
FALSE	-1.28
FALSE	-1.384
FALSE	-1.236
FALSE	-1.012
FALSE	0.156
FALSE	-1.268
FALSE	-1.116
FALSE	-1.264
FALSE	-1.288
FALSE	-0.66
FALSE	0.284
FALSE	-0.24
FALSE	0.3
FALSE	-0.108
FALSE	-1
FALSE	-0.244
FALSE	-0.308
FALSE	-0.904
FALSE	-0.376
FALSE	-0.468
FALSE	-0.2
FALSE	-0.764
FALSE	-2.1
FALSE	-1.196
FALSE	-0.5
FALSE	-0.592
FALSE	0.028
FALSE	-0.396
FALSE	-0.356
FALSE	-0.292
FALSE	-0.188
FALSE	-0.84
FALSE	0.304
FALSE	-2.04
FALSE	-1.164
FALSE	-0.636
FALSE	-1.816
FALSE	0.132
FALSE	0.236
FALSE	-0.756
FALSE	-0.66
FALSE	-0.588
FALSE	-0.256
FALSE	-1.024
FALSE	0.02
FALSE	-1.004
FALSE	-0.488
FALSE	-0.88
TRUE	-1.612
FALSE	-0.888
FALSE	-1.088
FALSE	-1.012
FALSE	0.176
FALSE	-0.388
FALSE	-0.696
FALSE	-0.988
FALSE	0.656
FALSE	-1.28
FALSE	0.14
FALSE	-0.464
FALSE	-0.328
FALSE	-1.132
FALSE	-0.624
FALSE	0.116
FALSE	-0.528
FALSE	-1.112
FALSE	0.028
FALSE	-0.436
FALSE	-0.24
FALSE	-0.916
FALSE	-1.144
FALSE	-1.164
FALSE	0.224
FALSE	-0.22
FALSE	-0.58
FALSE	-0.604
FALSE	-0.476
FALSE	-0.028
FALSE	-0.88
FALSE	-0.656
FALSE	-0.78
TRUE	0.928
FALSE	-0.232
FALSE	-0.44
FALSE	-0.108
FALSE	-1.336
FALSE	-0.016
FALSE	-0.956
FALSE	-0.468
FALSE	-0.46
FALSE	0.46
FALSE	-0.264
FALSE	-0.692
FALSE	-0.86
FALSE	-1.02
FALSE	-0.796
FALSE	-0.94
FALSE	0.644
FALSE	-0.624
FALSE	-1.084
FALSE	-0.512
FALSE	-1.344
FALSE	-1.06
FALSE	-1.268
FALSE	-0.188
TRUE	0.356
FALSE	-0.22
FALSE	1.4
FALSE	-0.156
FALSE	-0.768
FALSE	-0.692
FALSE	-1.008
FALSE	-0.08
FALSE	-0.264
FALSE	-0.048
FALSE	-0.292
FALSE	0.484
FALSE	0.388
FALSE	-0.784
FALSE	-0.464
FALSE	-0.36
FALSE	-0.524
FALSE	-0.156
FALSE	-1.632
FALSE	1.092
FALSE	0.304
FALSE	-1.28
FALSE	-1.008
FALSE	-0.56
FALSE	-0.704
FALSE	-0.636
FALSE	-0.864
FALSE	-0.608
FALSE	-0.344
FALSE	-1.088
FALSE	-0.736
FALSE	-0.068
FALSE	-1.18
FALSE	0.92
FALSE	-0.984
FALSE	-0.924
FALSE	-0.336
FALSE	-1.248
FALSE	-0.996
FALSE	-0.336
FALSE	-1.636
FALSE	-0.212
FALSE	-0.78
FALSE	-0.752
TRUE	-0.32
FALSE	0.64
FALSE	-1.116
FALSE	-1.192
FALSE	0.172
FALSE	-0.872
FALSE	-0.052
FALSE	-0.116
FALSE	-0.684
FALSE	-0.764
FALSE	-1.1
FALSE	-1.332
FALSE	-0.512
FALSE	-0.44
FALSE	-0.212
FALSE	-0.244
FALSE	-0.304
FALSE	0.628
FALSE	-0.536
FALSE	0.024
FALSE	0.6
FALSE	-0.624
FALSE	-0.72
FALSE	-0.628
FALSE	-0.224
FALSE	-0.368
FALSE	-1.288
FALSE	0.092
FALSE	1.2
FALSE	-0.704
FALSE	-1.228
FALSE	1.38
FALSE	-0.84
FALSE	-0.4
FALSE	-0.336
FALSE	-1.392
FALSE	-0.916
FALSE	-0.36
FALSE	-0.42
FALSE	0.3
FALSE	-1.144
FALSE	-1.756
FALSE	-0.168
FALSE	0.032
FALSE	0.136
FALSE	-0.08
FALSE	-0.088
TRUE	0.244
FALSE	-0.068
FALSE	-0.808
FALSE	-0.224
FALSE	0.192
FALSE	-1.152
FALSE	-1.168
FALSE	-0.816
FALSE	-0.256
FALSE	-0.796
TRUE	0.104
FALSE	-0.364
FALSE	-0.384
FALSE	-0.028
FALSE	-0.412
FALSE	-1.4
FALSE	-0.66
FALSE	-0.4
FALSE	-0.016
FALSE	-1.02
FALSE	-0.764
FALSE	-1.112
FALSE	-0.132
FALSE	-2.18
FALSE	-0.324
FALSE	0.276
FALSE	-0.584
FALSE	-0.592
FALSE	-1.268
FALSE	-0.784
FALSE	-0.408
FALSE	-0.116
FALSE	-0.44
FALSE	-0.548
FALSE	-0.508
FALSE	-0.3
FALSE	-0.58
FALSE	0.088
FALSE	0.604
FALSE	-0.108
FALSE	-0.916
FALSE	0.22
FALSE	-0.54
FALSE	0.044
FALSE	-0.824
FALSE	0.3
FALSE	-0.616
FALSE	-0.416
FALSE	-0.06
FALSE	0.924
FALSE	-0.944
FALSE	-0.976
FALSE	-0.128
FALSE	0.592
FALSE	-1.052
FALSE	-0.296
FALSE	0.844
FALSE	-0.872
FALSE	-1.98
FALSE	-0.524
FALSE	-1.4
FALSE	0.308
FALSE	-0.04
FALSE	-0.62
FALSE	-0.532
FALSE	-0.404
FALSE	-0.58
FALSE	-0.148
FALSE	-0.116
FALSE	0.236
FALSE	-0.38
FALSE	-0.88
FALSE	0.232
TRUE	-0.052
FALSE	0.58
FALSE	-0.388
FALSE	-0.944
FALSE	0.84
FALSE	-0.272
FALSE	-0.38
TRUE	0.856
FALSE	-0.208
FALSE	0.096
FALSE	-0.096
FALSE	0.252
FALSE	-0.912
FALSE	-1.508
FALSE	0.624
FALSE	-1.616
FALSE	-0.528
FALSE	-0.332
FALSE	-0.32
FALSE	-0.608
FALSE	0.316
FALSE	-0.636
FALSE	0.408
FALSE	-0.676
FALSE	-0.916
FALSE	-0.204
FALSE	0.452
FALSE	-0.852
FALSE	-0.264
FALSE	0.284
FALSE	-0.436
FALSE	0.012
FALSE	0.376
FALSE	-0.224
FALSE	-0.088
FALSE	-0.004
FALSE	0.672
TRUE	0.82
TRUE	-0.124
FALSE	0.292
FALSE	-0.276
FALSE	-0.448
FALSE	-0.64
FALSE	-0.9
FALSE	-0.752
FALSE	0.472
FALSE	-0.704
FALSE	0.376
FALSE	-0.812
FALSE	-1.452
FALSE	-0.224
FALSE	-0.792
FALSE	-0.768
FALSE	-1.104
FALSE	-1.424
FALSE	-0.148
FALSE	-1.088
FALSE	-0.108
FALSE	-0.816
FALSE	-0.788
FALSE	2.052
FALSE	-1.572
FALSE	-0.452
FALSE	-1.32
FALSE	-1.268
FALSE	-1.852
FALSE	-0.984
FALSE	-0.252
FALSE	-0.04
FALSE	-0.048
FALSE	-0.248
FALSE	-0.9
FALSE	-1.012
FALSE	-1.204
FALSE	-0.608
FALSE	0.88
FALSE	-1.012
FALSE	-0.16
FALSE	-0.628
FALSE	-0.004
FALSE	0.04
FALSE	-1.64
FALSE	0.136
FALSE	0.272
FALSE	-1.372
FALSE	-1.568
FALSE	-1.4
FALSE	-1.568
FALSE	-0.568
FALSE	-0.256
FALSE	-0.24
FALSE	0.572
FALSE	0.616
FALSE	0.248
FALSE	-0.564
FALSE	-0.944
FALSE	-0.416
FALSE	-0.64
FALSE	-0.312
TRUE	0.028
FALSE	-0.228
FALSE	-1.392
FALSE	-0.544
FALSE	-0.52
FALSE	0.656
FALSE	-1.892
FALSE	0.296
FALSE	-0.64
FALSE	-0.808
FALSE	-0.284
FALSE	1.192
FALSE	0.032
FALSE	-0.64
FALSE	-0.868
FALSE	-1.144
TRUE	-1.876
FALSE	-0.588
FALSE	-0.064
FALSE	0.492
FALSE	-0.456
FALSE	-1.144
FALSE	-0.416
FALSE	0.46
FALSE	-1.588
FALSE	-0.352
FALSE	0.244
FALSE	-0.808
FALSE	-0.12
FALSE	0.844
FALSE	1.048
FALSE	-0.136
FALSE	0.656
FALSE	-0.008
FALSE	-1.104
FALSE	0.148
FALSE	-0.82
FALSE	-1.172
FALSE	-0.732
FALSE	-0.492
FALSE	-0.784
FALSE	0.588
FALSE	1.952
FALSE	-1.808
FALSE	-0.656
FALSE	-0.536
FALSE	-0.78
FALSE	-0.116
FALSE	0.164
FALSE	-1.76
FALSE	0.256
FALSE	0.448
FALSE	-0.924
